"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-01",,"28","12"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-02",,"42","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-03",,"59","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-04",,"52","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-05",,"53","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-06",,"50","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-07",,"38","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-08",,"36","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-09",,"40","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-10",,"40","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-11",,"35","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-12",,"28","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-13",,"33","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-14",,"33","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-15",,"38","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-16",,"46","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-17",,"28","11"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-18",,"19","7"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-19",,"20","4"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-20",,"34","18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-21",,"38","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-22",,"47","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-23",,"54","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-24",,"45","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-25",,"50","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-26",,"35","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-27",,"41","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-28",,"48","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-29",,"31","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-30",,"32","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-01-31",,"38","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-01",,"52","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-02",,"44","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-03",,"47","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-04",,"40","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-05",,"51","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-06",,"44","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-07",,"43","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-08",,"34","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-09",,"38","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-10",,"34","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-11",,"40","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-12",,"39","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-13",,"34","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-14",,"48","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-15",,"46","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-16",,"37","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-17",,"36","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-18",,"51","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-19",,"66","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-20",,"54","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-21",,"52","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-22",,"59","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-23",,"46","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-24",,"47","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-25",,"32","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-26",,"49","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-27",,"71","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-02-28",,"62","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-01",,"44","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-02",,"62","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-03",,"43","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-04",,"39","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-05",,"46","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-06",,"50","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-07",,"42","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-08",,"56","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-09",,"37","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-10",,"54","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-11",,"52","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-12",,"47","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-13",,"41","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-14",,"50","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-15",,"52","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-16",,"38","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-17",,"46","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-18",,"51","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-19",,"41","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-20",,"47","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-21",,"50","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-22",,"62","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-23",,"43","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-24",,"49","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-25",,"53","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-26",,"58","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-27",,"70","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-28",,"64","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-29",,"55","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-30",,"65","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-03-31",,"53","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-01",,"49","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-02",,"61","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-03",,"57","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-04",,"69","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-05",,"53","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-06",,"60","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-07",,"74","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-08",,"59","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-09",,"43","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-10",,"49","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-11",,"51","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-12",,"51","38"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-13",,"68","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-14",,"57","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-15",,"52","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-16",,"62","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-17",,"54","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-18",,"46","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-19",,"55","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-20",,"58","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-21",,"60","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-22",,"61","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-23",,"58","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-24",,"56","44"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-25",,"61","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1997-04-26",,"67","49"
