,Date,LNG
0,1997-01-15,4.25
1,1997-02-15,4.29
2,1997-03-15,4.22
3,1997-04-15,4.06
4,1997-05-15,3.98
5,1997-06-15,4.22
6,2001-01-15,4.69
7,2001-02-15,4.74
8,2001-03-15,4.71
9,2001-04-15,4.26
10,2001-05-15,4.23
11,2001-06-15,4.29
12,2001-07-15,4.28
13,2001-08-15,4.3
14,2001-09-15,4.4
15,2001-10-15,4.41
16,2001-11-15,4.3
17,2001-12-15,4.3
18,2002-01-15,4.27
19,2002-02-15,4.04
20,2002-03-15,3.74
21,2002-04-15,3.68
22,2002-05-15,3.79
23,2002-06-15,3.85
24,2002-07-15,4.09
25,2002-08-15,4.26
26,2002-09-15,4.3
27,2002-10-15,4.28
28,2002-11-15,4.3
29,2002-12-15,4.34
30,2003-01-15,4.43
31,2003-02-15,4.44
32,2003-03-15,4.3
33,2003-04-15,4.44
34,2003-05-15,4.62
35,2003-06-15,4.76
36,2003-07-15,4.67
37,2003-08-15,4.43
38,2003-09-15,4.4
39,2003-10-15,4.4
40,2003-11-15,4.45
41,2003-12-15,4.51
42,2004-01-15,4.42
43,2004-02-15,4.53
44,2004-03-15,4.6
45,2004-04-15,4.79
46,2004-05-15,4.89
47,2004-06-15,4.83
48,2004-07-15,4.98
49,2004-08-15,5.05
50,2004-09-15,5.24
51,2004-10-15,5.24
52,2004-11-15,5.32
53,2004-12-15,5.4
54,2005-01-15,5.27
55,2005-02-15,5.4
56,2005-03-15,5.26
57,2005-04-15,5.19
58,2005-05-15,5.38
59,2005-06-15,5.49
60,2005-07-15,5.89
61,2005-08-15,6.08
62,2005-09-15,5.97
63,2005-10-15,6.24
64,2005-11-15,6.4
65,2005-12-15,6.68
66,2006-01-15,5.9
67,2006-02-15,5.81
68,2006-03-15,5.69
69,2006-04-15,5.76
70,2006-05-15,5.95
71,2006-06-15,5.94
72,2006-07-15,5.95
73,2006-08-15,6.17
74,2006-09-15,6.22
75,2006-10-15,6.28
76,2006-11-15,6.45
77,2006-12-15,6.44
78,2007-01-15,6.08
79,2007-02-15,5.91
80,2007-03-15,5.85
81,2007-04-15,5.86
82,2007-05-15,5.65
83,2007-06-15,5.73
84,2007-07-15,5.87
85,2007-08-15,6.06
86,2007-09-15,6.14
87,2007-10-15,9.34
88,2007-11-15,6.33
89,2007-12-15,6.28
