Date,WTI,LNG,NAT,TAVG,STATION,NAME
1997-01-15,25.95,4.25,4.34,22.0,CHM00054511,"BEIJING, CH"
1997-04-15,19.6,4.06,2,59.0,CHM00054511,"BEIJING, CH"
1997-05-15,21.3,3.98,2.25,78.0,CHM00054511,"BEIJING, CH"
2001-02-15,28.96,4.74,5.35,31.0,CHM00054511,"BEIJING, CH"
2001-03-15,26.56,4.71,5.27,47.0,CHM00054511,"BEIJING, CH"
2001-05-15,28.9,4.23,4.46,74.0,CHM00054511,"BEIJING, CH"
2001-06-15,28.52,4.29,3.86,66.0,CHM00054511,"BEIJING, CH"
2001-08-15,27.51,4.3,3.15,80.0,CHM00054511,"BEIJING, CH"
2001-10-15,22.37,4.41,2.26,59.0,CHM00054511,"BEIJING, CH"
2001-11-15,17.5,4.3,1.99,40.0,CHM00054511,"BEIJING, CH"
2002-01-15,18.99,4.27,2.32,37.0,CHM00054511,"BEIJING, CH"
2002-02-15,21.47,4.04,2.18,36.0,CHM00054511,"BEIJING, CH"
2002-03-15,24.47,3.74,2.99,60.0,CHM00054511,"BEIJING, CH"
2002-04-15,24.53,3.68,3.27,62.0,CHM00054511,"BEIJING, CH"
2002-05-15,28.17,3.79,3.6,67.0,CHM00054511,"BEIJING, CH"
2002-07-15,27.23,4.09,2.83,88.0,CHM00054511,"BEIJING, CH"
2002-08-15,28.99,4.26,2.92,79.0,CHM00054511,"BEIJING, CH"
2002-10-15,29.73,4.28,4.19,54.0,CHM00054511,"BEIJING, CH"
2002-11-15,25.5,4.3,3.92,38.0,CHM00054511,"BEIJING, CH"
2003-01-15,33.23,4.43,5.21,26.0,CHM00054511,"BEIJING, CH"
2003-04-15,29.46,4.44,5.53,67.0,CHM00054511,"BEIJING, CH"
2003-05-15,28.57,4.62,6.24,64.0,CHM00054511,"BEIJING, CH"
2003-07-15,31.6,4.67,5.17,80.0,CHM00054511,"BEIJING, CH"
2003-08-15,31.01,4.43,4.83,74.0,CHM00054511,"BEIJING, CH"
2003-09-15,28.15,4.4,4.66,71.0,CHM00054511,"BEIJING, CH"
2003-10-15,31.74,4.4,4.93,56.0,CHM00054511,"BEIJING, CH"
2003-12-15,33.17,4.51,6.63,31.0,CHM00054511,"BEIJING, CH"
2004-01-15,33.61,4.42,6.02,26.0,CHM00054511,"BEIJING, CH"
2004-03-15,37.44,4.6,5.59,46.0,CHM00054511,"BEIJING, CH"
2004-04-15,37.74,4.79,5.68,71.0,CHM00054511,"BEIJING, CH"
2004-06-15,37.18,4.83,6.35,78.0,CHM00054511,"BEIJING, CH"
2004-07-15,40.7,4.98,5.92,78.0,CHM00054511,"BEIJING, CH"
2004-09-15,43.83,5.24,5.17,63.0,CHM00054511,"BEIJING, CH"
2004-10-15,54.89,5.24,5.64,58.0,CHM00054511,"BEIJING, CH"
2004-11-15,46.95,5.32,6.02,44.0,CHM00054511,"BEIJING, CH"
