Formatted_DATE,Settlement Point Price
2019-01-01 01:00:00,20.49
2019-01-01 02:00:00,19.81
2019-01-01 03:00:00,19.58
2019-01-01 04:00:00,19.23
2019-01-01 05:00:00,21.23
2019-01-01 06:00:00,22.58
2019-01-01 07:00:00,23.97
2019-01-01 08:00:00,24.55
2019-01-01 09:00:00,24.91
2019-01-01 10:00:00,24.69
2019-01-01 11:00:00,24.62
2019-01-01 12:00:00,25.34
2019-01-01 13:00:00,24.18
2019-01-01 14:00:00,22.89
2019-01-01 15:00:00,22.88
2019-01-01 16:00:00,22.77
2019-01-01 17:00:00,23.68
2019-01-01 18:00:00,31.21
2019-01-01 19:00:00,35.35
2019-01-01 20:00:00,30.75
2019-01-01 21:00:00,28.83
2019-01-01 22:00:00,27.19
2019-01-01 23:00:00,25.39
2019-01-02 00:00:00,23.88
2019-01-02 01:00:00,23.8
2019-01-02 02:00:00,23.19
2019-01-02 03:00:00,23.22
2019-01-02 04:00:00,22.92
2019-01-02 05:00:00,25.09
2019-01-02 06:00:00,28.65
2019-01-02 07:00:00,39.13
2019-01-02 08:00:00,38.94
2019-01-02 09:00:00,36.24
2019-01-02 10:00:00,39.65
2019-01-02 11:00:00,40.24
2019-01-02 12:00:00,37.26
2019-01-02 13:00:00,34.52
2019-01-02 14:00:00,34.85
2019-01-02 15:00:00,34.85
2019-01-02 16:00:00,34.55
2019-01-02 17:00:00,36.34
2019-01-02 18:00:00,64.61
2019-01-02 19:00:00,66.57
2019-01-02 20:00:00,40.82
2019-01-02 21:00:00,40.0
2019-01-02 22:00:00,35.27
2019-01-02 23:00:00,31.37
2019-01-03 00:00:00,26.31
2019-01-03 01:00:00,26.48
2019-01-03 02:00:00,24.19
2019-01-03 03:00:00,24.75
2019-01-03 04:00:00,24.3
2019-01-03 05:00:00,24.75
2019-01-03 06:00:00,30.0
2019-01-03 07:00:00,54.87
2019-01-03 08:00:00,40.02
2019-01-03 09:00:00,35.67
2019-01-03 10:00:00,36.6
2019-01-03 11:00:00,33.11
2019-01-03 12:00:00,30.35
2019-01-03 13:00:00,27.8
2019-01-03 14:00:00,26.78
2019-01-03 15:00:00,23.98
2019-01-03 16:00:00,24.6
2019-01-03 17:00:00,27.11
2019-01-03 18:00:00,41.09
2019-01-03 19:00:00,44.39
2019-01-03 20:00:00,34.42
2019-01-03 21:00:00,33.42
2019-01-03 22:00:00,29.81
2019-01-03 23:00:00,27.0
2019-01-04 00:00:00,23.52
2019-01-04 01:00:00,22.1
2019-01-04 02:00:00,22.11
2019-01-04 03:00:00,21.21
2019-01-04 04:00:00,21.95
2019-01-04 05:00:00,23.0
2019-01-04 06:00:00,28.19
2019-01-04 07:00:00,55.0
2019-01-04 08:00:00,45.95
2019-01-04 09:00:00,35.72
2019-01-04 10:00:00,31.38
2019-01-04 11:00:00,28.49
2019-01-04 12:00:00,26.0
2019-01-04 13:00:00,23.57
2019-01-04 14:00:00,22.95
2019-01-04 15:00:00,21.62
2019-01-04 16:00:00,21.0
2019-01-04 17:00:00,22.52
2019-01-04 18:00:00,34.39
2019-01-04 19:00:00,31.87
2019-01-04 20:00:00,26.13
2019-01-04 21:00:00,26.43
2019-01-04 22:00:00,27.05
2019-01-04 23:00:00,24.09
2019-01-05 00:00:00,22.55
2019-01-05 01:00:00,21.2
2019-01-05 02:00:00,20.01
2019-01-05 03:00:00,19.84
2019-01-05 04:00:00,19.42
2019-01-05 05:00:00,20.57
2019-01-05 06:00:00,22.57
2019-01-05 07:00:00,25.55
2019-01-05 08:00:00,28.82
2019-01-05 09:00:00,30.94
2019-01-05 10:00:00,29.91
2019-01-05 11:00:00,24.79
2019-01-05 12:00:00,23.03
2019-01-05 13:00:00,22.67
2019-01-05 14:00:00,21.55
2019-01-05 15:00:00,20.2
2019-01-05 16:00:00,19.48
2019-01-05 17:00:00,19.51
2019-01-05 18:00:00,23.82
2019-01-05 19:00:00,21.51
2019-01-05 20:00:00,19.56
2019-01-05 21:00:00,18.98
2019-01-05 22:00:00,17.72
2019-01-05 23:00:00,19.08
2019-01-06 00:00:00,16.75
2019-01-06 01:00:00,16.85
2019-01-06 02:00:00,16.01
2019-01-06 03:00:00,16.19
2019-01-06 04:00:00,16.24
2019-01-06 05:00:00,18.08
2019-01-06 06:00:00,18.9
2019-01-06 07:00:00,17.0
2019-01-06 08:00:00,18.82
2019-01-06 09:00:00,21.66
2019-01-06 10:00:00,21.64
2019-01-06 11:00:00,19.28
2019-01-06 12:00:00,17.9
2019-01-06 13:00:00,17.05
2019-01-06 14:00:00,16.46
2019-01-06 15:00:00,15.85
2019-01-06 16:00:00,15.58
2019-01-06 17:00:00,16.16
2019-01-06 18:00:00,20.98
2019-01-06 19:00:00,20.7
2019-01-06 20:00:00,18.8
2019-01-06 21:00:00,16.76
2019-01-06 22:00:00,16.28
2019-01-06 23:00:00,16.31
2019-01-07 00:00:00,16.46
2019-01-07 01:00:00,11.4
2019-01-07 02:00:00,11.0
2019-01-07 03:00:00,11.96
2019-01-07 04:00:00,12.01
2019-01-07 05:00:00,15.3
2019-01-07 06:00:00,18.7
2019-01-07 07:00:00,18.18
2019-01-07 08:00:00,20.99
2019-01-07 09:00:00,21.5
2019-01-07 10:00:00,22.11
2019-01-07 11:00:00,21.9
2019-01-07 12:00:00,22.21
2019-01-07 13:00:00,22.75
2019-01-07 14:00:00,22.95
2019-01-07 15:00:00,22.24
2019-01-07 16:00:00,22.21
2019-01-07 17:00:00,22.37
2019-01-07 18:00:00,39.81
2019-01-07 19:00:00,31.11
2019-01-07 20:00:00,22.4
2019-01-07 21:00:00,21.85
2019-01-07 22:00:00,21.79
2019-01-07 23:00:00,20.5
2019-01-08 00:00:00,18.49
2019-01-08 01:00:00,15.54
2019-01-08 02:00:00,15.31
2019-01-08 03:00:00,15.46
2019-01-08 04:00:00,16.9
2019-01-08 05:00:00,17.96
2019-01-08 06:00:00,20.91
2019-01-08 07:00:00,23.55
2019-01-08 08:00:00,26.42
2019-01-08 09:00:00,24.95
2019-01-08 10:00:00,22.01
2019-01-08 11:00:00,22.51
2019-01-08 12:00:00,20.61
2019-01-08 13:00:00,21.37
2019-01-08 14:00:00,21.74
2019-01-08 15:00:00,21.49
2019-01-08 16:00:00,21.13
2019-01-08 17:00:00,21.73
2019-01-08 18:00:00,41.2
2019-01-08 19:00:00,32.27
2019-01-08 20:00:00,25.4
2019-01-08 21:00:00,24.6
2019-01-08 22:00:00,25.05
